Year,Season,City,Sport,Event,Athlete,Gender,Country,Medal,Age
2020,Summer,Tokyo,Wrestling,Event_8,Mirabai Chanu,Male,USA,Bronze,33
2012,Summer,Rio,Badminton,Event_17,Serena Williams,Female,USA,Bronze,32
2012,Summer,London,Swimming,Event_18,Simone Biles,Male,India,Bronze,28
2020,Summer,Tokyo,Swimming,Event_3,Simone Biles,Female,Jamaica,Gold,20
2012,Summer,Beijing,Boxing,Event_1,Yuzuru Hanyu,Male,Australia,Silver,28
2016,Summer,London,Swimming,Event_20,Neeraj Chopra,Male,USA,Bronze,27
2020,Summer,London,Gymnastics,Event_4,Wayde van Niekerk,Male,UK,Gold,28
2016,Summer,Rio,Athletics,Event_14,Wayde van Niekerk,Female,UK,Bronze,26
2012,Summer,Tokyo,Boxing,Event_1,Sushil Kumar,Male,Jamaica,Gold,24
2016,Summer,London,Gymnastics,Event_10,Wayde van Niekerk,Female,Australia,Silver,29
2008,Summer,Rio,Swimming,Event_19,Wayde van Niekerk,Female,UK,Silver,22
2012,Summer,Rio,Badminton,Event_7,Neeraj Chopra,Male,Japan,Gold,24
2016,Summer,Tokyo,Badminton,Event_8,Mirabai Chanu,Female,USA,Bronze,29
2016,Summer,Beijing,Gymnastics,Event_2,Neeraj Chopra,Male,Japan,Gold,32
2012,Summer,Tokyo,Gymnastics,Event_10,Serena Williams,Female,India,Gold,35
2008,Summer,Tokyo,Wrestling,Event_2,P V Sindhu,Female,Jamaica,Gold,35
2008,Summer,Tokyo,Wrestling,Event_2,P V Sindhu,Female,Australia,Silver,30
2020,Summer,London,Badminton,Event_13,Mary Kom,Male,India,Bronze,22
2016,Summer,Rio,Athletics,Event_17,Usain Bolt,Male,Japan,Bronze,21
2020,Summer,Beijing,Boxing,Event_12,Mary Kom,Male,USA,Silver,18
2008,Summer,London,Athletics,Event_1,Mirabai Chanu,Female,UK,Silver,29
2008,Summer,London,Swimming,Event_20,Michael Phelps,Female,Australia,Silver,33
2012,Summer,Tokyo,Swimming,Event_18,Simone Biles,Female,India,Silver,18
2016,Summer,Tokyo,Badminton,Event_12,Usain Bolt,Male,USA,Bronze,28
2020,Summer,Rio,Gymnastics,Event_8,Neeraj Chopra,Male,USA,Bronze,20
2008,Summer,Beijing,Wrestling,Event_1,Usain Bolt,Female,Jamaica,Silver,33
2020,Summer,London,Wrestling,Event_13,Sushil Kumar,Female,India,Gold,23
2012,Summer,Rio,Swimming,Event_2,Serena Williams,Female,USA,Bronze,33
2008,Summer,Tokyo,Gymnastics,Event_17,Serena Williams,Male,USA,Silver,26
2020,Summer,Beijing,Swimming,Event_4,Serena Williams,Male,USA,Gold,20
2012,Summer,London,Athletics,Event_1,Mirabai Chanu,Male,Jamaica,Silver,23
2016,Summer,Tokyo,Badminton,Event_7,Wayde van Niekerk,Female,Japan,Silver,31
2012,Summer,London,Wrestling,Event_1,Sushil Kumar,Male,India,Silver,33
2020,Summer,Rio,Wrestling,Event_6,Neeraj Chopra,Male,Jamaica,Silver,23
2020,Summer,Rio,Swimming,Event_1,Simone Biles,Female,Japan,Gold,23
2008,Summer,Beijing,Swimming,Event_14,Yuzuru Hanyu,Male,Japan,Gold,33
2020,Summer,Tokyo,Gymnastics,Event_1,Caeleb Dressel,Male,India,Bronze,35
2008,Summer,London,Gymnastics,Event_13,Simone Biles,Male,USA,Bronze,29
2020,Summer,Tokyo,Athletics,Event_1,P V Sindhu,Male,UK,Gold,18
2012,Summer,London,Boxing,Event_13,Mary Kom,Male,Jamaica,Bronze,34
2012,Summer,Beijing,Athletics,Event_9,P V Sindhu,Male,Japan,Gold,31
2020,Summer,Beijing,Badminton,Event_18,P V Sindhu,Female,India,Silver,31
2012,Summer,Tokyo,Athletics,Event_17,Yuzuru Hanyu,Female,USA,Bronze,22
2012,Summer,Beijing,Badminton,Event_5,P V Sindhu,Female,Australia,Silver,26
2012,Summer,London,Boxing,Event_8,Usain Bolt,Female,Jamaica,Bronze,25
2016,Summer,Tokyo,Gymnastics,Event_16,Mirabai Chanu,Female,Australia,Gold,19
2020,Summer,Rio,Wrestling,Event_8,Simone Biles,Male,Jamaica,Silver,21
2020,Summer,Tokyo,Wrestling,Event_6,Sushil Kumar,Male,Japan,Gold,22
2012,Summer,Beijing,Gymnastics,Event_4,Mirabai Chanu,Male,India,Bronze,32
2016,Summer,London,Wrestling,Event_4,Simone Biles,Male,Australia,Gold,30
2008,Summer,Beijing,Athletics,Event_11,Michael Phelps,Female,India,Bronze,23
2020,Summer,London,Wrestling,Event_15,Usain Bolt,Female,Jamaica,Silver,22
2020,Summer,Beijing,Badminton,Event_16,Yuzuru Hanyu,Female,UK,Gold,35
2016,Summer,Tokyo,Gymnastics,Event_12,Mary Kom,Female,China,Bronze,29
2008,Summer,Beijing,Gymnastics,Event_12,Michael Phelps,Male,USA,Bronze,31
2016,Summer,Tokyo,Athletics,Event_10,Wayde van Niekerk,Male,India,Silver,25
2016,Summer,Beijing,Athletics,Event_19,Serena Williams,Male,India,Bronze,19
2020,Summer,Tokyo,Swimming,Event_9,Usain Bolt,Female,Japan,Silver,23
2016,Summer,Rio,Athletics,Event_5,Neeraj Chopra,Male,India,Bronze,26
2020,Summer,London,Gymnastics,Event_5,Mirabai Chanu,Male,India,Silver,19
2020,Summer,Rio,Gymnastics,Event_18,Serena Williams,Male,Japan,Bronze,18
2020,Summer,Beijing,Wrestling,Event_19,Wayde van Niekerk,Female,Australia,Silver,35
2012,Summer,Beijing,Boxing,Event_17,Sushil Kumar,Male,UK,Bronze,23
2020,Summer,London,Athletics,Event_5,Sushil Kumar,Female,India,Gold,20
2012,Summer,Rio,Athletics,Event_10,Wayde van Niekerk,Male,China,Gold,28
2012,Summer,Beijing,Gymnastics,Event_13,Michael Phelps,Male,Australia,Gold,35
2016,Summer,Beijing,Swimming,Event_14,Caeleb Dressel,Female,Jamaica,Silver,31
2008,Summer,London,Badminton,Event_8,Mirabai Chanu,Female,Japan,Bronze,30
2016,Summer,Tokyo,Badminton,Event_16,Sushil Kumar,Male,Australia,Bronze,31
2008,Summer,London,Wrestling,Event_14,Sushil Kumar,Female,Jamaica,Silver,23
2016,Summer,Rio,Wrestling,Event_2,Usain Bolt,Male,Japan,Silver,32
2012,Summer,London,Badminton,Event_12,P V Sindhu,Male,Jamaica,Gold,30
2020,Summer,Tokyo,Gymnastics,Event_11,Neeraj Chopra,Female,UK,Silver,26
2012,Summer,Beijing,Badminton,Event_19,Neeraj Chopra,Female,China,Bronze,32
2012,Summer,Rio,Boxing,Event_13,Wayde van Niekerk,Female,USA,Bronze,23
2020,Summer,Beijing,Athletics,Event_4,Sushil Kumar,Female,USA,Bronze,22
2008,Summer,Beijing,Boxing,Event_15,Mirabai Chanu,Female,China,Gold,20
2008,Summer,Tokyo,Wrestling,Event_7,Yuzuru Hanyu,Male,UK,Bronze,20
2008,Summer,Tokyo,Badminton,Event_14,Neeraj Chopra,Female,India,Silver,33
2008,Summer,Rio,Badminton,Event_12,P V Sindhu,Female,China,Silver,33
2020,Summer,Tokyo,Swimming,Event_13,Neeraj Chopra,Male,Japan,Silver,18
2008,Summer,Tokyo,Gymnastics,Event_10,Mary Kom,Male,Japan,Silver,35
2012,Summer,London,Swimming,Event_11,Mirabai Chanu,Female,India,Gold,26
2016,Summer,Rio,Athletics,Event_20,Simone Biles,Male,China,Gold,29
2008,Summer,Tokyo,Badminton,Event_11,Usain Bolt,Female,Jamaica,Silver,23
2016,Summer,Rio,Gymnastics,Event_5,Simone Biles,Male,India,Gold,30
2012,Summer,Tokyo,Swimming,Event_1,Michael Phelps,Male,UK,Bronze,34
2016,Summer,Rio,Athletics,Event_12,Sushil Kumar,Male,Japan,Bronze,35
2016,Summer,Beijing,Badminton,Event_2,Wayde van Niekerk,Female,USA,Bronze,31
2012,Summer,London,Boxing,Event_11,Wayde van Niekerk,Female,India,Silver,21
2016,Summer,London,Boxing,Event_9,Usain Bolt,Female,Australia,Gold,34
2016,Summer,Rio,Wrestling,Event_2,Usain Bolt,Female,UK,Silver,19
2020,Summer,Rio,Boxing,Event_5,Yuzuru Hanyu,Male,UK,Gold,18
2008,Summer,Tokyo,Athletics,Event_15,Michael Phelps,Female,Japan,Silver,21
2020,Summer,Rio,Gymnastics,Event_16,Mirabai Chanu,Male,Jamaica,Silver,29
2020,Summer,Tokyo,Boxing,Event_5,P V Sindhu,Male,USA,Bronze,18
2020,Summer,London,Badminton,Event_9,Neeraj Chopra,Female,China,Silver,29
2016,Summer,Tokyo,Wrestling,Event_15,Caeleb Dressel,Male,Jamaica,Gold,27
2012,Summer,London,Athletics,Event_6,Neeraj Chopra,Male,USA,Gold,25
2016,Summer,Tokyo,Boxing,Event_3,Michael Phelps,Female,China,Bronze,29
2012,Summer,Beijing,Swimming,Event_17,Caeleb Dressel,Male,USA,Silver,28
2020,Summer,Beijing,Athletics,Event_20,Serena Williams,Male,USA,Silver,20
2012,Summer,Beijing,Athletics,Event_20,Mirabai Chanu,Female,China,Silver,20
2020,Summer,Beijing,Badminton,Event_13,Sushil Kumar,Male,USA,Bronze,21
2020,Summer,Beijing,Athletics,Event_1,Serena Williams,Female,Australia,Silver,32
2020,Summer,Rio,Swimming,Event_11,Sushil Kumar,Female,Japan,Gold,23
2012,Summer,Rio,Wrestling,Event_10,Usain Bolt,Female,UK,Gold,18
2012,Summer,London,Gymnastics,Event_8,Caeleb Dressel,Male,Japan,Bronze,23
2008,Summer,Rio,Athletics,Event_16,Sushil Kumar,Female,Australia,Bronze,23
2012,Summer,Beijing,Badminton,Event_7,Mary Kom,Male,Australia,Silver,27
2012,Summer,Tokyo,Gymnastics,Event_5,Serena Williams,Male,UK,Gold,30
2016,Summer,London,Badminton,Event_12,Usain Bolt,Female,Australia,Bronze,33
2016,Summer,Beijing,Swimming,Event_8,Sushil Kumar,Male,China,Silver,25
2008,Summer,Beijing,Boxing,Event_16,Serena Williams,Male,Japan,Silver,18
2008,Summer,London,Gymnastics,Event_6,Caeleb Dressel,Male,USA,Silver,32
2016,Summer,London,Athletics,Event_3,Caeleb Dressel,Female,Jamaica,Gold,22
2008,Summer,Beijing,Boxing,Event_14,Sushil Kumar,Male,Japan,Silver,29
2012,Summer,Tokyo,Boxing,Event_9,Mirabai Chanu,Female,Australia,Gold,26
2016,Summer,Beijing,Swimming,Event_8,Sushil Kumar,Male,Jamaica,Bronze,19
2016,Summer,London,Wrestling,Event_14,Mary Kom,Male,Japan,Gold,22
2020,Summer,London,Boxing,Event_12,Mary Kom,Male,Australia,Gold,29
2020,Summer,London,Swimming,Event_19,Michael Phelps,Female,Jamaica,Gold,34
2012,Summer,London,Badminton,Event_3,Mary Kom,Female,China,Gold,28
2008,Summer,Tokyo,Athletics,Event_19,P V Sindhu,Female,China,Silver,30
2020,Summer,Rio,Wrestling,Event_8,Serena Williams,Male,Australia,Silver,21
2016,Summer,Beijing,Gymnastics,Event_1,Caeleb Dressel,Male,USA,Bronze,23
2020,Summer,Beijing,Gymnastics,Event_5,Neeraj Chopra,Male,Jamaica,Gold,23
2020,Summer,London,Boxing,Event_5,Usain Bolt,Male,India,Silver,19
2016,Summer,London,Swimming,Event_4,Michael Phelps,Female,China,Gold,22
2008,Summer,Rio,Badminton,Event_18,Caeleb Dressel,Male,China,Silver,31
2008,Summer,Tokyo,Wrestling,Event_2,Simone Biles,Female,Jamaica,Silver,30
2016,Summer,Rio,Boxing,Event_4,Caeleb Dressel,Female,Japan,Gold,34
2020,Summer,Beijing,Gymnastics,Event_9,Simone Biles,Male,UK,Gold,34
2008,Summer,London,Boxing,Event_4,Caeleb Dressel,Male,UK,Gold,19
2020,Summer,London,Gymnastics,Event_5,Sushil Kumar,Male,USA,Silver,31
2012,Summer,Beijing,Wrestling,Event_7,Caeleb Dressel,Female,India,Silver,26
2012,Summer,Rio,Gymnastics,Event_11,P V Sindhu,Male,China,Gold,24
2016,Summer,Tokyo,Wrestling,Event_4,Usain Bolt,Male,Jamaica,Silver,30
2012,Summer,Beijing,Athletics,Event_3,P V Sindhu,Female,Japan,Silver,29
2020,Summer,London,Badminton,Event_3,Wayde van Niekerk,Female,Jamaica,Bronze,25
2016,Summer,London,Athletics,Event_16,Serena Williams,Male,Japan,Gold,33
2020,Summer,Beijing,Gymnastics,Event_10,Simone Biles,Male,China,Gold,30
2020,Summer,Beijing,Boxing,Event_16,P V Sindhu,Male,Japan,Bronze,19
2008,Summer,Beijing,Wrestling,Event_12,Yuzuru Hanyu,Female,Japan,Bronze,27
2008,Summer,London,Swimming,Event_12,P V Sindhu,Male,Japan,Gold,33
2012,Summer,Tokyo,Wrestling,Event_20,Caeleb Dressel,Male,USA,Gold,32
2008,Summer,Tokyo,Athletics,Event_12,Sushil Kumar,Male,Jamaica,Bronze,26
2012,Summer,Rio,Swimming,Event_20,Mary Kom,Male,USA,Gold,23
2016,Summer,Beijing,Gymnastics,Event_5,Michael Phelps,Female,India,Gold,34
2012,Summer,Beijing,Badminton,Event_1,Sushil Kumar,Female,India,Gold,32
2016,Summer,Rio,Gymnastics,Event_12,Serena Williams,Female,USA,Gold,24
2016,Summer,Tokyo,Gymnastics,Event_10,Mirabai Chanu,Female,Japan,Bronze,18
2016,Summer,Rio,Gymnastics,Event_5,Mary Kom,Female,Japan,Gold,26
2008,Summer,London,Boxing,Event_8,Wayde van Niekerk,Female,Australia,Bronze,20
2012,Summer,Rio,Badminton,Event_12,Neeraj Chopra,Female,India,Bronze,22
2020,Summer,London,Athletics,Event_19,P V Sindhu,Male,Japan,Silver,24
2012,Summer,Tokyo,Athletics,Event_15,Usain Bolt,Female,Australia,Silver,19
2012,Summer,Beijing,Swimming,Event_14,P V Sindhu,Female,UK,Gold,23
2020,Summer,Beijing,Boxing,Event_9,Serena Williams,Male,USA,Bronze,22
2008,Summer,London,Gymnastics,Event_18,Usain Bolt,Male,Australia,Bronze,33
2008,Summer,London,Wrestling,Event_15,Wayde van Niekerk,Female,USA,Bronze,27
2012,Summer,London,Badminton,Event_1,Mary Kom,Male,India,Silver,25
2016,Summer,Tokyo,Badminton,Event_2,Mirabai Chanu,Male,China,Bronze,19
2020,Summer,London,Wrestling,Event_9,Michael Phelps,Male,Australia,Bronze,18
2020,Summer,London,Gymnastics,Event_12,P V Sindhu,Female,Jamaica,Bronze,20
2008,Summer,London,Boxing,Event_18,Serena Williams,Male,USA,Silver,23
2020,Summer,London,Gymnastics,Event_18,Caeleb Dressel,Female,Jamaica,Silver,23
2008,Summer,Beijing,Boxing,Event_2,Usain Bolt,Male,USA,Bronze,21
2012,Summer,London,Boxing,Event_8,Caeleb Dressel,Female,Japan,Silver,25
2008,Summer,Rio,Wrestling,Event_16,Caeleb Dressel,Female,Australia,Silver,33
2012,Summer,London,Wrestling,Event_10,Simone Biles,Male,UK,Gold,20
2016,Summer,Rio,Gymnastics,Event_1,Mary Kom,Male,Australia,Silver,19
2008,Summer,Beijing,Swimming,Event_8,Yuzuru Hanyu,Female,USA,Gold,34
2012,Summer,Rio,Gymnastics,Event_9,Neeraj Chopra,Female,USA,Bronze,19
2016,Summer,Tokyo,Wrestling,Event_11,Serena Williams,Male,Japan,Silver,18
2012,Summer,Tokyo,Boxing,Event_10,Caeleb Dressel,Male,China,Bronze,33
2008,Summer,Beijing,Boxing,Event_6,Mary Kom,Female,China,Silver,34
2012,Summer,London,Wrestling,Event_1,Michael Phelps,Female,Jamaica,Bronze,25
2012,Summer,Tokyo,Swimming,Event_5,Simone Biles,Female,Japan,Silver,25
2008,Summer,Beijing,Badminton,Event_20,Mary Kom,Female,USA,Gold,18
2012,Summer,Tokyo,Wrestling,Event_4,Serena Williams,Female,Jamaica,Silver,25
2008,Summer,Beijing,Wrestling,Event_12,Usain Bolt,Male,UK,Gold,30
2020,Summer,Beijing,Athletics,Event_8,P V Sindhu,Male,USA,Gold,33
2020,Summer,Rio,Wrestling,Event_14,Mary Kom,Female,China,Silver,35
2020,Summer,Beijing,Swimming,Event_12,Sushil Kumar,Female,Jamaica,Silver,26
2012,Summer,Tokyo,Swimming,Event_15,Sushil Kumar,Female,Japan,Bronze,34
2020,Summer,Rio,Badminton,Event_12,Sushil Kumar,Female,Japan,Silver,34
2008,Summer,Tokyo,Gymnastics,Event_14,Caeleb Dressel,Female,Japan,Silver,18
2012,Summer,Beijing,Athletics,Event_8,Usain Bolt,Female,India,Bronze,19
2008,Summer,Beijing,Badminton,Event_18,Mirabai Chanu,Male,India,Gold,33
2012,Summer,London,Gymnastics,Event_12,Usain Bolt,Male,Jamaica,Bronze,29
2016,Summer,Tokyo,Athletics,Event_14,P V Sindhu,Female,USA,Bronze,19
2012,Summer,London,Athletics,Event_18,Usain Bolt,Male,USA,Gold,26
2016,Summer,Rio,Athletics,Event_2,Wayde van Niekerk,Male,India,Silver,35
2008,Summer,Tokyo,Badminton,Event_11,Usain Bolt,Female,India,Bronze,21
2012,Summer,Tokyo,Athletics,Event_12,Sushil Kumar,Female,Japan,Gold,31
2012,Summer,Beijing,Badminton,Event_19,P V Sindhu,Female,India,Silver,19
2020,Summer,Beijing,Wrestling,Event_5,Serena Williams,Female,India,Gold,18
2008,Summer,Beijing,Boxing,Event_17,Usain Bolt,Male,China,Silver,35
2008,Summer,Tokyo,Swimming,Event_11,Wayde van Niekerk,Female,Japan,Bronze,34
2020,Summer,Rio,Swimming,Event_9,Mirabai Chanu,Male,UK,Gold,28
2008,Summer,Beijing,Athletics,Event_8,Mary Kom,Male,USA,Bronze,27
2020,Summer,Rio,Athletics,Event_1,Mirabai Chanu,Female,USA,Gold,25
2012,Summer,London,Wrestling,Event_10,Usain Bolt,Male,USA,Gold,30
2016,Summer,Tokyo,Athletics,Event_17,Sushil Kumar,Female,Jamaica,Silver,28
2020,Summer,Beijing,Swimming,Event_4,Neeraj Chopra,Female,USA,Silver,27
2020,Summer,Rio,Swimming,Event_15,Caeleb Dressel,Male,Australia,Gold,31
2016,Summer,Beijing,Gymnastics,Event_8,Sushil Kumar,Male,USA,Bronze,24
2016,Summer,London,Swimming,Event_18,Neeraj Chopra,Female,USA,Bronze,23
2008,Summer,Rio,Athletics,Event_11,Sushil Kumar,Female,Japan,Gold,34
2012,Summer,Rio,Wrestling,Event_12,Michael Phelps,Female,UK,Silver,24
2020,Summer,Tokyo,Boxing,Event_10,Mary Kom,Male,Jamaica,Bronze,34
2016,Summer,Beijing,Athletics,Event_13,P V Sindhu,Male,Australia,Gold,32
2016,Summer,London,Gymnastics,Event_6,Wayde van Niekerk,Female,China,Silver,25
2016,Summer,Tokyo,Gymnastics,Event_8,Serena Williams,Male,Japan,Silver,23
2020,Summer,Rio,Badminton,Event_16,Mirabai Chanu,Male,Jamaica,Gold,23
2008,Summer,London,Athletics,Event_15,Usain Bolt,Male,USA,Bronze,34
2016,Summer,Rio,Boxing,Event_4,Serena Williams,Female,India,Silver,28
2016,Summer,Tokyo,Gymnastics,Event_16,P V Sindhu,Male,UK,Gold,20
2020,Summer,Tokyo,Boxing,Event_13,Sushil Kumar,Male,Japan,Silver,23
2016,Summer,Rio,Athletics,Event_12,Neeraj Chopra,Female,India,Bronze,19
2012,Summer,Tokyo,Swimming,Event_19,Sushil Kumar,Male,Jamaica,Silver,20
2012,Summer,Tokyo,Wrestling,Event_3,Michael Phelps,Male,India,Silver,32
2012,Summer,Tokyo,Badminton,Event_6,Usain Bolt,Female,Jamaica,Silver,26
2012,Summer,Beijing,Badminton,Event_11,Serena Williams,Female,Jamaica,Gold,28
2020,Summer,Tokyo,Wrestling,Event_15,P V Sindhu,Male,India,Bronze,19
2020,Summer,London,Wrestling,Event_1,Serena Williams,Female,Japan,Bronze,23
2008,Summer,Rio,Athletics,Event_5,Caeleb Dressel,Male,Jamaica,Bronze,29
2016,Summer,Rio,Badminton,Event_3,Neeraj Chopra,Female,Japan,Silver,24
2016,Summer,Tokyo,Wrestling,Event_1,Caeleb Dressel,Female,Australia,Bronze,28
2016,Summer,Rio,Gymnastics,Event_15,Wayde van Niekerk,Female,Japan,Gold,30
2020,Summer,Beijing,Wrestling,Event_3,Mary Kom,Female,USA,Gold,34
2016,Summer,London,Swimming,Event_14,Mirabai Chanu,Female,UK,Silver,22
2012,Summer,Rio,Gymnastics,Event_1,Usain Bolt,Female,USA,Gold,31
2020,Summer,Beijing,Gymnastics,Event_12,Neeraj Chopra,Male,Jamaica,Bronze,22
2016,Summer,London,Badminton,Event_7,Neeraj Chopra,Female,India,Gold,32
2012,Summer,Tokyo,Wrestling,Event_19,Usain Bolt,Male,China,Silver,35
2016,Summer,London,Wrestling,Event_13,Mary Kom,Male,Australia,Bronze,24
2016,Summer,London,Boxing,Event_18,Yuzuru Hanyu,Male,Australia,Bronze,30
2012,Summer,Tokyo,Badminton,Event_6,Wayde van Niekerk,Female,China,Gold,26
2020,Summer,Beijing,Wrestling,Event_11,Yuzuru Hanyu,Female,India,Gold,18
2020,Summer,Rio,Athletics,Event_11,Serena Williams,Male,Jamaica,Gold,25
2016,Summer,Beijing,Swimming,Event_12,Yuzuru Hanyu,Male,USA,Bronze,19
2020,Summer,London,Swimming,Event_20,Mirabai Chanu,Male,UK,Silver,32
2016,Summer,Rio,Boxing,Event_16,P V Sindhu,Female,USA,Gold,24
2012,Summer,London,Badminton,Event_4,P V Sindhu,Female,Jamaica,Bronze,22
2020,Summer,Rio,Badminton,Event_16,Sushil Kumar,Female,India,Gold,24
2012,Summer,Tokyo,Boxing,Event_3,Caeleb Dressel,Female,Jamaica,Silver,33
2012,Summer,Beijing,Gymnastics,Event_9,Simone Biles,Male,Jamaica,Gold,19
2008,Summer,London,Boxing,Event_10,Simone Biles,Female,China,Silver,28
2008,Summer,Beijing,Boxing,Event_12,Serena Williams,Male,Jamaica,Silver,31
2016,Summer,Tokyo,Gymnastics,Event_3,Caeleb Dressel,Male,UK,Gold,20
2008,Summer,Beijing,Wrestling,Event_13,Serena Williams,Female,Australia,Silver,20
2012,Summer,Rio,Swimming,Event_18,Simone Biles,Male,Jamaica,Gold,23
2008,Summer,Beijing,Boxing,Event_15,Serena Williams,Male,Jamaica,Bronze,32
2008,Summer,London,Wrestling,Event_15,Wayde van Niekerk,Male,Australia,Silver,25
2012,Summer,London,Swimming,Event_1,Mary Kom,Female,China,Silver,28
2016,Summer,Rio,Athletics,Event_11,Mirabai Chanu,Female,Australia,Silver,35
2016,Summer,Beijing,Athletics,Event_13,Yuzuru Hanyu,Male,UK,Silver,21
2012,Summer,Beijing,Athletics,Event_5,Yuzuru Hanyu,Male,India,Gold,31
2016,Summer,Tokyo,Badminton,Event_9,Wayde van Niekerk,Male,India,Silver,18
2008,Summer,London,Badminton,Event_12,Wayde van Niekerk,Female,UK,Gold,32
2008,Summer,Tokyo,Wrestling,Event_15,Wayde van Niekerk,Male,India,Silver,23
2008,Summer,Rio,Badminton,Event_3,Simone Biles,Male,China,Gold,25
2016,Summer,London,Boxing,Event_18,Serena Williams,Female,UK,Silver,19
2016,Summer,Beijing,Swimming,Event_18,Mirabai Chanu,Female,Jamaica,Gold,25
2012,Summer,Rio,Badminton,Event_10,Neeraj Chopra,Female,Australia,Silver,35
2020,Summer,Tokyo,Boxing,Event_6,Serena Williams,Female,USA,Silver,20
2020,Summer,Rio,Swimming,Event_17,Mirabai Chanu,Male,Jamaica,Bronze,29
2020,Summer,Beijing,Wrestling,Event_12,Sushil Kumar,Female,Japan,Bronze,27
2008,Summer,Beijing,Swimming,Event_17,Caeleb Dressel,Male,Jamaica,Silver,33
2008,Summer,Rio,Boxing,Event_16,Mirabai Chanu,Male,Jamaica,Bronze,26
2016,Summer,London,Swimming,Event_3,Usain Bolt,Female,USA,Gold,35
2016,Summer,Rio,Boxing,Event_4,Serena Williams,Female,Australia,Silver,21
2008,Summer,Beijing,Wrestling,Event_11,Michael Phelps,Male,India,Bronze,26
2012,Summer,London,Swimming,Event_20,Mary Kom,Male,China,Gold,19
2012,Summer,Rio,Swimming,Event_4,Wayde van Niekerk,Male,India,Gold,20
2020,Summer,Beijing,Wrestling,Event_1,Wayde van Niekerk,Male,India,Gold,19
2020,Summer,Tokyo,Swimming,Event_11,Sushil Kumar,Male,China,Gold,20
2016,Summer,London,Badminton,Event_15,Sushil Kumar,Male,Japan,Gold,35
2008,Summer,London,Wrestling,Event_2,Usain Bolt,Female,USA,Silver,32
2008,Summer,Rio,Athletics,Event_15,Serena Williams,Male,UK,Gold,20
2020,Summer,Rio,Athletics,Event_5,Caeleb Dressel,Male,USA,Bronze,20
2016,Summer,London,Athletics,Event_19,Yuzuru Hanyu,Female,Australia,Gold,21
2012,Summer,Rio,Gymnastics,Event_20,Serena Williams,Female,India,Gold,19
2008,Summer,Tokyo,Wrestling,Event_14,P V Sindhu,Male,Japan,Bronze,33
2020,Summer,London,Boxing,Event_16,Mary Kom,Female,Australia,Gold,28
2016,Summer,London,Athletics,Event_11,Usain Bolt,Female,Jamaica,Gold,35
2012,Summer,Tokyo,Swimming,Event_3,Mirabai Chanu,Female,Australia,Gold,19
2008,Summer,Tokyo,Gymnastics,Event_14,Mirabai Chanu,Female,Jamaica,Silver,23
2020,Summer,Tokyo,Wrestling,Event_16,Sushil Kumar,Female,Japan,Bronze,23
2008,Summer,Beijing,Wrestling,Event_1,Simone Biles,Female,China,Silver,21
2012,Summer,Beijing,Gymnastics,Event_11,Usain Bolt,Male,Jamaica,Silver,24
2020,Summer,Beijing,Gymnastics,Event_5,P V Sindhu,Female,UK,Gold,22
2016,Summer,London,Badminton,Event_15,Yuzuru Hanyu,Male,Australia,Gold,18
2016,Summer,Rio,Badminton,Event_9,Simone Biles,Male,China,Bronze,29
2008,Summer,Tokyo,Boxing,Event_8,Michael Phelps,Male,UK,Silver,23
2008,Summer,London,Wrestling,Event_13,Mirabai Chanu,Female,Jamaica,Silver,26
2008,Summer,Beijing,Athletics,Event_1,Sushil Kumar,Male,Jamaica,Silver,33
2016,Summer,Rio,Gymnastics,Event_10,Mary Kom,Female,UK,Silver,23
2012,Summer,London,Badminton,Event_12,Yuzuru Hanyu,Female,Japan,Gold,31
2012,Summer,Beijing,Gymnastics,Event_15,Mirabai Chanu,Male,Japan,Gold,26
2016,Summer,Rio,Badminton,Event_17,Yuzuru Hanyu,Female,Japan,Silver,26
2008,Summer,Tokyo,Swimming,Event_7,Mary Kom,Male,Japan,Gold,23
2008,Summer,London,Badminton,Event_18,Michael Phelps,Male,USA,Bronze,21
2012,Summer,Tokyo,Athletics,Event_13,Wayde van Niekerk,Male,Jamaica,Bronze,19
2008,Summer,Rio,Boxing,Event_17,Simone Biles,Female,USA,Gold,23
2012,Summer,London,Swimming,Event_2,Wayde van Niekerk,Male,USA,Gold,24
2020,Summer,Beijing,Badminton,Event_20,Simone Biles,Female,USA,Bronze,23
2012,Summer,Rio,Gymnastics,Event_9,Serena Williams,Female,Japan,Bronze,31
2016,Summer,Tokyo,Wrestling,Event_15,Mirabai Chanu,Female,China,Bronze,28
2008,Summer,London,Athletics,Event_4,Mary Kom,Male,Jamaica,Gold,29
2012,Summer,London,Boxing,Event_6,Caeleb Dressel,Female,Japan,Bronze,25
2016,Summer,Rio,Wrestling,Event_18,Sushil Kumar,Male,India,Bronze,23
2016,Summer,Beijing,Athletics,Event_16,P V Sindhu,Male,China,Bronze,34
2012,Summer,London,Wrestling,Event_14,P V Sindhu,Male,USA,Bronze,27
2012,Summer,Beijing,Gymnastics,Event_8,Mary Kom,Male,Jamaica,Bronze,31
2008,Summer,Beijing,Wrestling,Event_4,Yuzuru Hanyu,Male,Jamaica,Bronze,20
2020,Summer,Rio,Boxing,Event_8,Usain Bolt,Female,India,Gold,30
2008,Summer,London,Badminton,Event_3,Usain Bolt,Male,India,Silver,30
2016,Summer,Beijing,Swimming,Event_13,Mary Kom,Female,USA,Gold,19
